Index,emote_display,link,Emote,IMAGE,Cohort,emotion_recognition,anger_calmness,despair_hope,disgust_like,hate_love,sadness_joy,anticipation_surprise,sacrasm_lvl,Confidence_answer
27,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555590/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555590/1.0,;-),,Face Emote,10,4,0,7,2,7,2,0,10
26,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/11/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/11/1.0,;),,Face Emote,10,4,0,7,2,7,2,0,10
225,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555600/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555600/1.0,R-),,Face Emote,10,4,0,7,2,7,2,0,10
224,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/14/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/14/1.0,R),,Face Emote,10,4,0,7,2,7,2,0,10
5,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555557/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555557/1.0,:-),,Face Emote,10,4,0,7,2,7,2,0,10
3,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/1/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/1/1.0,:),,Face Emote,10,4,0,7,2,7,2,0,10
7,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555561/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555561/1.0,:-D,,Face Emote,10,5,0,10,2,9,2,0,10
17,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/3/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/3/1.0,:D,,Face Emote,10,5,0,10,2,9,2,0,10
28,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555596/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555596/1.0,;-P,,Face Emote,10,7,0,3,0,3,1,0,10
29,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555598/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555598/1.0,;-p,,Face Emote,10,7,0,3,0,3,1,0,10
9,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555592/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555592/1.0,:-P,,Face Emote,10,7,0,3,0,3,1,0,10
13,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555594/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555594/1.0,:-p,,Face Emote,10,7,0,3,0,3,1,0,10
30,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/13/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/13/1.0,;P,,Face Emote,10,7,0,3,0,3,1,0,10
31,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555597/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555597/1.0,;p,,Face Emote,10,7,0,3,0,3,1,0,10
19,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/12/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/12/1.0,:P,,Face Emote,10,7,0,3,0,3,1,0,10
23,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555593/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555593/1.0,:p,,Face Emote,10,7,0,3,0,3,1,0,10
20,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555567/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555567/1.0,:Z,,Face Emote,10,9,0,0,0,-5,-9,0,10
24,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555565/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555565/1.0,:z,,Face Emote,10,9,0,0,0,-5,-9,0,10
25,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/5/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/5/1.0,:|,,Face Emote,10,9,0,0,0,-5,-9,0,10
